Graph A: 30 vertices, 130 edges
Edge thresholds: edges < 115 or edges > 145

Graph     Nodes     Edges     GED            EdgeStatus     
B310      30        130       196            IN_RANGE       
B311      30        131       179            IN_RANGE       
B312      30        126       192            IN_RANGE       
B313      30        129       185            IN_RANGE       
B314      30        132       188            IN_RANGE       
B315      30        129       177            IN_RANGE       
B316      30        130       172            IN_RANGE       
B317      30        129       185            IN_RANGE       
B318      30        126       184            IN_RANGE       
B319      30        131       189            IN_RANGE       
B320      30        134       194            IN_RANGE       
B321      30        123       187            IN_RANGE       
B322      30        136       198            IN_RANGE       
B323      30        135       185            IN_RANGE       
B324      30        133       191            IN_RANGE       
B325      30        125       187            IN_RANGE       
B326      30        135       187            IN_RANGE       
B327      30        132       178            IN_RANGE       
B328      30        133       197            IN_RANGE       
B329      30        133       181            IN_RANGE       
B330      30        131       185            IN_RANGE       
B331      30        130       200            IN_RANGE       
B332      30        132       192            IN_RANGE       
B333      30        129       199            IN_RANGE       
B334      30        131       173            IN_RANGE       
B335      30        132       184            IN_RANGE       
B336      30        132       184            IN_RANGE       
B337      30        129       185            IN_RANGE       
B338      30        128       178            IN_RANGE       
B339      30        128       182            IN_RANGE       
B340      30        131       193            IN_RANGE       
B341      30        134       186            IN_RANGE       
B342      30        130       178            IN_RANGE       
B343      30        128       186            IN_RANGE       
B344      30        131       189            IN_RANGE       
B345      30        134       176            IN_RANGE       
B346      30        128       184            IN_RANGE       
B347      30        131       183            IN_RANGE       
B348      30        132       190            IN_RANGE       
B349      30        132       196            IN_RANGE       
B350      30        130       186            IN_RANGE       
B351      30        128       190            IN_RANGE       
B352      30        128       188            IN_RANGE       
B353      30        130       184            IN_RANGE       
B354      30        130       172            IN_RANGE       
B355      30        131       187            IN_RANGE       
B356      30        133       187            IN_RANGE       
B357      30        131       185            IN_RANGE       
B358      30        130       178            IN_RANGE       
B359      30        131       183            IN_RANGE       
B360      30        131       175            IN_RANGE       
B361      30        127       193            IN_RANGE       
B362      30        128       188            IN_RANGE       
B363      30        125       187            IN_RANGE       
B364      30        129       173            IN_RANGE       
B365      30        134       188            IN_RANGE       
B366      30        134       206            IN_RANGE       
B367      30        130       172            IN_RANGE       
B368      30        131       189            IN_RANGE       
B369      30        131       185            IN_RANGE       
B370      30        133       173            IN_RANGE       
B371      30        125       187            IN_RANGE       
B372      30        133       191            IN_RANGE       
B373      30        131       203            IN_RANGE       
B374      30        129       177            IN_RANGE       
B375      30        128       184            IN_RANGE       
B376      30        131       181            IN_RANGE       
B377      30        131       187            IN_RANGE       
B378      30        130       184            IN_RANGE       
B379      30        131       177            IN_RANGE       
B380      30        128       190            IN_RANGE       
B381      30        132       172            IN_RANGE       
B382      30        133       197            IN_RANGE       
B383      30        133       201            IN_RANGE       
B384      30        132       198            IN_RANGE       
B385      30        132       182            IN_RANGE       
B386      30        131       181            IN_RANGE       
B387      30        131       201            IN_RANGE       
B388      30        131       199            IN_RANGE       
B389      30        126       184            IN_RANGE       
B390      30        129       179            IN_RANGE       
B391      30        128       186            IN_RANGE       
B392      30        127       171            IN_RANGE       
B393      30        129       191            IN_RANGE       
B394      30        131       181            IN_RANGE       
B395      30        131       191            IN_RANGE       
B396      30        130       182            IN_RANGE       
B397      30        131       189            IN_RANGE       
B398      30        133       201            IN_RANGE       
B399      30        126       188            IN_RANGE       
B400      30        130       194            IN_RANGE       
B401      30        132       184            IN_RANGE       
B402      30        128       194            IN_RANGE       
B403      30        127       191            IN_RANGE       
B404      30        128       196            IN_RANGE       
B405      30        131       187            IN_RANGE       
B406      30        128       188            IN_RANGE       
B407      30        132       184            IN_RANGE       
B408      30        130       182            IN_RANGE       
B409      30        128       176            IN_RANGE       
B410      30        132       200            IN_RANGE       
B411      30        131       175            IN_RANGE       
B412      30        131       173            IN_RANGE       
B413      30        124       178            IN_RANGE       
B414      30        128       194            IN_RANGE       
B415      30        129       177            IN_RANGE       
B416      30        134       196            IN_RANGE       
B417      30        130       174            IN_RANGE       
B418      30        132       186            IN_RANGE       
B419      30        129       177            IN_RANGE       
B420      30        128       214            IN_RANGE       
B421      30        127       183            IN_RANGE       
B422      30        129       187            IN_RANGE       
B423      30        130       182            IN_RANGE       
B424      30        131       191            IN_RANGE       
B425      30        132       176            IN_RANGE       
B426      30        132       180            IN_RANGE       
B427      30        129       187            IN_RANGE       
B428      30        130       188            IN_RANGE       
B429      30        128       184            IN_RANGE       
B430      30        136       192            IN_RANGE       
B431      30        129       179            IN_RANGE       
B432      30        133       187            IN_RANGE       
